owner_acronym,source_year,total_entries,original_contract_entries,amendment_entries,most_recent_entries,original_entries_sum,most_recent_entries_sum
osfi,2016,279,232,47,198,21692486.13,12146549.82
osfi,2017,311,235,76,242,11736496.31,24390949.99
osfi,2018,212,156,56,183,13060665.16,23005483.19
osgg,2016,29,29,0,23,1377412.15,822739.16
osgg,2017,57,42,15,42,13545601.90,13806578.31
osgg,2018,53,45,8,51,1563771.76,2517482.80
oto,2008,6,6,0,6,103243.84,103243.84
oto,2009,4,4,0,4,111043.29,111043.29
oto,2011,1,1,0,1,24860.00,24860.00
oto,2013,4,3,1,3,46813.23,111917.83
oto,2014,2,2,0,2,112675.83,112675.83
oto,2016,1,1,0,1,44215.20,44215.20
pbc,2009,59,59,0,59,1700525.00,1700525.00
pbc,2010,74,74,0,73,2039411.00,1994996.00
pbc,2011,93,93,0,93,2582889.00,2582889.00
pbc,2012,109,109,0,108,2614506.00,2566653.00
pbc,2013,89,88,1,89,1942598.00,1991481.00
pbc,2014,72,72,0,71,1559081.00,1542131.00
pbc,2015,53,43,10,45,1015196.47,1095239.54
pbc,2016,12,12,0,12,264664.44,264664.44
pbc,2017,50,47,3,47,1252453.03,1273551.53
pbc,2018,18,18,0,18,505519.06,505519.06
pc,2004,1541,1534,7,1534,73469878.86,73479023.01
pc,2005,1465,1465,0,1462,61243288.06,59720678.06
pc,2006,1865,1865,0,1861,70189810.57,69441479.12
pc,2007,1645,1644,1,1627,74329700.08,68448888.98
pc,2008,1960,1941,19,1921,86190596.32,83363392.81
pc,2009,2301,2235,66,2198,155901129.88,129623729.74
pc,2010,2348,2249,99,2230,129382472.17,119172612.91
pc,2011,1977,1861,116,1833,119172173.47,155423602.87
pc,2012,1704,1590,114,1549,81740449.09,92290822.03
pc,2013,2472,2228,244,2209,140401611.22,164388788.36
pc,2014,2720,2469,251,2444,196833401.29,176869550.06
pc,2015,3603,3161,442,3026,412542767.15,323484512.47
pc,2016,3576,2965,611,2895,512992778.00,405396599.20
pc,2017,3683,2925,758,2965,498668781.84,526210096.72
pc,2018,2692,2009,683,2346,427234384.71,813479249.78
pch,2004,1043,1043,0,1042,40269453.50,40203634.37
pch,2005,933,933,0,929,35462223.73,34895865.31
pch,2006,911,911,0,906,32711033.86,31476039.78
pch,2007,868,868,0,856,48972794.30,47154958.34
pch,2008,667,667,0,632,44666951.46,41324933.47
pch,2009,637,540,97,551,35561211.14,44062224.74
pch,2010,448,351,97,352,17618997.99,25488291.36
pch,2011,319,261,58,277,19238302.52,27497022.04
pch,2012,188,154,34,154,11543416.84,15582282.01
pch,2013,235,205,30,200,13975247.96,13846730.84
pch,2014,398,348,50,333,27294685.69,21076143.65
pch,2015,383,322,61,325,19352465.77,24036040.29
pch,2016,529,451,78,453,30371893.17,30656082.33
pch,2017,578,494,84,512,27729522.63,56148143.21
pch,2018,182,148,34,171,9317026.94,16343395.43
pco,2004,474,428,46,424,13978262.93,13867038.93
