owner_acronym,source_fiscal,total_entries,total_contracts,total_amendments
ec,201213-Q2,697,602,95
ec,201213-Q3,925,828,97
ec,201213-Q4,1279,1148,131
ec,201314-Q1,1260,1021,239
ec,201314-Q2,860,743,117
ec,201314-Q3,958,819,139
ec,201314-Q4,1055,923,132
ec,201415-Q1,1223,989,234
ec,201415-Q2,796,690,106
ec,201415-Q3,816,672,144
ec,201415-Q4,871,760,111
ec,201516-Q1,694,694,0
ec,201516-Q2,539,511,28
ec,201516-Q3,655,616,39
ec,201516-Q4,822,771,51
ec,201617-Q1,780,743,37
ec,201617-Q2,476,475,1
ec,201617-Q3,581,579,2
ec,201617-Q4,770,683,87
ec,201718-Q1,680,630,50
ec,201718-Q3,606,532,74
ec,201718-Q4,638,633,5
ec,201819-Q2,506,469,37
ec,201819-Q3,1,1,0
elections,201617-Q4,152,150,2
elections,201718-Q1,61,54,7
elections,201718-Q2,57,49,8
elections,201718-Q3,84,70,14
elections,201718-Q4,119,82,37
elections,201819-Q1,77,63,14
elections,201819-Q2,90,79,11
elections,201819-Q3,130,109,21
esdc,200304-Q1,1,1,0
esdc,200405-Q1,489,488,1
esdc,200405-Q2,313,313,0
esdc,200405-Q3,369,369,0
esdc,200405-Q4,649,649,0
esdc,200506-Q1,424,424,0
esdc,200506-Q2,473,472,1
esdc,200506-Q3,370,369,1
esdc,200506-Q4,797,797,0
esdc,200607-Q1,401,400,1
esdc,200607-Q2,360,360,0
esdc,200607-Q3,322,322,0
esdc,200607-Q4,583,582,1
esdc,200708-Q1,284,284,0
esdc,200708-Q2,278,278,0
esdc,200708-Q3,446,446,0
esdc,200708-Q4,713,713,0
esdc,200809-Q1,300,300,0
esdc,200809-Q2,305,305,0
esdc,200809-Q3,330,330,0
esdc,200809-Q4,413,413,0
esdc,200910-Q1,446,446,0
esdc,200910-Q2,397,397,0
esdc,200910-Q3,545,545,0
esdc,200910-Q4,813,813,0
esdc,201011-Q1,376,376,0
esdc,201011-Q2,369,369,0
esdc,201011-Q3,503,503,0
esdc,201011-Q4,646,646,0
esdc,201112-Q1,399,399,0
esdc,201112-Q2,347,347,0
esdc,201112-Q3,394,394,0
esdc,201112-Q4,612,612,0
