owner_acronym,source_year,total_original_entries,entries_below_25k,entries_above_25k,original_sum_below_25k,original_sum_above_25k
hc,2017,1446,811,635,14486831.70,117377154.46
hc,2018,964,531,433,9656585.45,65557750.44
ic,2004,2313,1691,622,29247284.00,53814905.00
ic,2005,2331,1646,685,28366562.00,56368678.00
ic,2006,2000,1387,613,23499512.00,55189271.00
ic,2007,1753,1252,501,21600707.00,51150064.00
ic,2008,1687,1138,549,19823861.00,61224142.00
ic,2009,1565,1039,526,17784211.00,53793142.00
ic,2010,1380,920,460,15912982.00,63017613.00
ic,2011,1261,820,441,14090476.00,48534009.00
ic,2012,1084,702,382,12344556.00,41339065.00
ic,2013,1120,664,456,11804929.00,51094730.00
ic,2014,1008,630,378,11091436.00,43509969.00
ic,2015,1047,640,407,11541905.00,45663847.00
ic,2016,1069,590,479,10633543.36,59921149.42
ic,2017,1233,693,540,12978174.90,110578017.72
ic,2018,675,409,266,7621839.72,38429874.36
ijc,2017,32,19,13,324453.33,665027.84
ijc,2018,26,17,9,292807.25,951283.77
inac,2013,922,479,443,8505932.48,76160921.51
inac,2014,1281,558,723,9958469.10,321106731.00
inac,2015,778,406,372,7330898.38,119569363.47
inac,2016,774,380,394,6825455.82,94110179.83
inac,2017,837,398,439,7084260.30,69358295.87
infra,2006,55,44,11,857507.14,7498204.94
infra,2007,106,60,46,1075316.84,3404846.13
infra,2008,71,34,37,656951.07,1780683.01
infra,2009,108,60,48,1015172.35,6694346.91
infra,2010,101,59,42,1063816.43,7101645.75
infra,2011,72,31,41,558454.73,3022816.53
infra,2012,58,23,35,466405.73,2933803.46
infra,2013,42,21,21,367940.12,1387203.91
infra,2014,76,41,35,685500.22,5154643.93
infra,2015,78,37,41,679736.95,4650885797.96
infra,2016,122,70,52,1316606.56,13281622.28
infra,2017,96,58,38,1103561.97,11883066.08
infra,2018,79,40,39,765406.46,7630830.19
ircc,2010,971,452,519,7714278.93,223028518.12
ircc,2011,692,328,364,5766351.63,237301253.86
ircc,2012,680,261,419,4666984.97,167029512.84
ircc,2013,639,254,385,4420332.97,69812534.60
ircc,2014,561,193,368,3418586.08,67286083.80
ircc,2015,652,194,458,3382807.99,373174587.02
ircc,2016,581,191,390,3275776.16,89145298.54
ircc,2017,517,144,373,2576343.69,141684191.57
ircc,2018,432,100,332,1825619.05,72172265.01
isc,2017,168,83,85,1373173.35,16166036.88
isc,2018,143,60,83,1006582.27,24151765.34
just,2003,2,2,0,38254.10,0.00
just,2004,717,511,206,8766209.77,16243000.73
just,2005,752,560,192,9594229.17,17342791.46
just,2006,582,410,172,6995147.96,16026556.84
just,2007,627,418,209,7296204.26,21394978.87
just,2008,731,441,290,7684071.87,25457033.23
just,2009,680,444,236,7624234.07,28629244.95
